"disease","disease_groups"
"normal","Normal"
"COVID-19","COVID-19 related"
"post COVID-19","COVID-19 related"
"long COVID-19","COVID-19 related"
"follicular lymphoma","Cancer: Hematologic Cancer"
"B-cell acute lymphoblastic leukemia","Cancer: Hematologic Cancer"
"B-cell non-Hodgkin lymphoma","Cancer: Hematologic Cancer"
"acute myeloid leukemia","Cancer: Hematologic Cancer"
"acute promyelocytic leukemia","Cancer: Hematologic Cancer"
"plasma cell myeloma","Cancer: Hematologic Cancer"
"squamous cell lung carcinoma","Cancer: Lung Cancer"
"small cell lung carcinoma","Cancer: Lung Cancer"
"non-small cell lung carcinoma","Cancer: Lung Cancer"
"lung large cell carcinoma","Cancer: Lung Cancer"
"gastric cancer","Cancer: Gastrointestinal Cancer"
"colorectal cancer","Cancer: Gastrointestinal Cancer"
"colon sessile serrated adenoma/polyp","Cancer: Gastrointestinal Cancer"
"colorectal neoplasm","Cancer: Gastrointestinal Cancer"
"adenocarcinoma","Cancer: Gastrointestinal Cancer"
"breast carcinoma","Cancer: Breast Cancer"
"breast cancer","Cancer: Breast Cancer"
"luminal B breast carcinoma","Cancer: Breast Cancer"
"luminal A breast carcinoma","Cancer: Breast Cancer"
"triple-negative breast carcinoma","Cancer: Breast Cancer"
"clear cell renal carcinoma","Cancer: Renal Cancer"
"nonpapillary renal cell carcinoma","Cancer: Renal Cancer"
"chromophobe renal cell carcinoma","Cancer: Renal Cancer"
"myocardial infarction","Cardiovascular Diseases: Heart Muscle and Circulatory Disorders"
"acute myocardial infarction","Cardiovascular Diseases: Heart Muscle and Circulatory Disorders"
"dilated cardiomyopathy","Cardiovascular Diseases: Heart Muscle and Circulatory Disorders"
"non-compaction cardiomyopathy","Cardiovascular Diseases: Heart Muscle and Circulatory Disorders"
"arrhythmogenic right ventricular cardiomyopathy","Cardiovascular Diseases: Heart Muscle and Circulatory Disorders"
"cardiomyopathy","Cardiovascular Diseases: Heart Muscle and Circulatory Disorders"
"chronic rhinitis","Infectious and Immune-related Diseases: Respiratory Infections"
"pneumonia","Infectious and Immune-related Diseases: Respiratory Infections"
"influenza","Infectious and Immune-related Diseases: Respiratory Infections"
"localized scleroderma","Infectious and Immune-related Diseases: Autoimmune and Immune-Related Disorders"
"common variable immunodeficiency","Infectious and Immune-related Diseases: Autoimmune and Immune-Related Disorders"
"lymphangioleiomyomatosis","Infectious and Immune-related Diseases: Autoimmune and Immune-Related Disorders"
"type 1 diabetes mellitus","Infectious and Immune-related Diseases: Autoimmune and Immune-Related Disorders"
"Crohn ileitis","Infectious and Immune-related Diseases: Autoimmune and Immune-Related Disorders"
"periodontitis","Infectious and Immune-related Diseases: Autoimmune and Immune-Related Disorders"
"Crohn disease","Infectious and Immune-related Diseases: Autoimmune and Immune-Related Disorders"
"type 2 diabetes mellitus","Metabolic and Other Disorders: Metabolic Disorders"
"clonal hematopoiesis","Metabolic and Other Disorders: Metabolic Disorders"
"opiate dependence","Metabolic and Other Disorders: Metabolic Disorders"
"chronic kidney disease","Metabolic and Other Disorders: Renal and Urinary Disorders"
"acute kidney failure","Metabolic and Other Disorders: Renal and Urinary Disorders"
"kidney benign neoplasm","Metabolic and Other Disorders: Renal and Urinary Disorders"
"benign prostatic hyperplasia","Metabolic and Other Disorders: Renal and Urinary Disorders"
"digestive system disorder","Metabolic and Other Disorders: Gastrointestinal Disorders"
"primary sclerosing cholangitis","Metabolic and Other Disorders: Gastrointestinal Disorders"
"gastritis","Metabolic and Other Disorders: Gastrointestinal Disorders"
"gastric intestinal metaplasia","Metabolic and Other Disorders: Gastrointestinal Disorders"
"Barrett esophagus","Metabolic and Other Disorders: Gastrointestinal Disorders"
"tubulovillous adenoma","Metabolic and Other Disorders: Gastrointestinal Disorders"
"hyperplastic polyp","Metabolic and Other Disorders: Gastrointestinal Disorders"
"tubular adenoma","Metabolic and Other Disorders: Gastrointestinal Disorders"
"amyotrophic lateral sclerosis","Neurodegenerative and Neurological Disorders: Neurodegenerative Disorders"
"amyotrophic lateral sclerosis 26 with or without frontotemporal dementia","Neurodegenerative and Neurological Disorders: Neurodegenerative Disorders"
"frontotemporal dementia","Neurodegenerative and Neurological Disorders: Neurodegenerative Disorders"
"Lewy body dementia","Neurodegenerative and Neurological Disorders: Neurodegenerative Disorders"
"dementia","Neurodegenerative and Neurological Disorders: Neurodegenerative Disorders"
"Alzheimer disease","Neurodegenerative and Neurological Disorders: Neurodegenerative Disorders"
"Parkinson disease","Neurodegenerative and Neurological Disorders: Neurodegenerative Disorders"
"multiple sclerosis","Neurodegenerative and Neurological Disorders: Neurodegenerative Disorders"
"chronic obstructive pulmonary disease","Respiratory Conditions: Obstructive Lung Diseases"
"pulmonary emphysema","Respiratory Conditions: Obstructive Lung Diseases"
"cystic fibrosis","Respiratory Conditions: Obstructive Lung Diseases"
"pulmonary sarcoidosis","Respiratory Conditions: Restrictive Lung Diseases"
"pulmonary fibrosis","Respiratory Conditions: Restrictive Lung Diseases"
"interstitial lung disease","Respiratory Conditions: Restrictive Lung Diseases"
"non-specific interstitial pneumonia","Respiratory Conditions: Restrictive Lung Diseases"
"hypersensitivity pneumonitis","Respiratory Conditions: General Respiratory Disorders"
"respiratory system disorder","Respiratory Conditions: General Respiratory Disorders"
"aspiration pneumonia","Respiratory Conditions: General Respiratory Disorders"
